Produto,Categoria,Preco,Quantidade,Vendido_em
Produto_19,Categoria_D,258.7816864420156,9,2023-07-09 12:43:00
Produto_5,Categoria_C,379.2430216057407,47,2023-10-12 07:33:31
Produto_37,Categoria_C,375.41386632944807,25,2023-11-12 22:33:44
Produto_90,Categoria_B,111.05844009225552,25,2023-05-29 12:19:05
Produto_17,Categoria_A,453.99244045173947,6,2023-07-10 05:00:10
Produto_12,Categoria_A,426.6289528050944,11,2023-12-07 14:48:37
Produto_38,Categoria_B,367.27801986298726,5,2023-04-25 03:46:41
Produto_88,Categoria_B,154.16044516147065,24,2023-06-14 20:34:22
Produto_38,Categoria_D,414.0532372403422,32,2023-11-10 00:35:17
Produto_84,Categoria_B,325.40862443397356,40,2023-01-01 06:40:36
Produto_72,Categoria_D,201.84246217261955,38,2023-02-04 12:37:47
Produto_2,Categoria_A,244.71470228906216,41,2023-01-25 01:43:10
Produto_16,Categoria_E,265.84543619217027,22,2023-06-16 04:14:34
Produto_25,Categoria_A,56.90010117739743,5,2023-09-21 12:31:25
Produto_42,Categoria_C,331.9386517175402,24,2023-08-17 08:30:06
Produto_55,Categoria_E,482.49881818023897,22,2023-03-15 23:37:35
Produto_95,Categoria_D,439.66927508078516,23,2023-05-31 03:33:07
Produto_21,Categoria_C,245.99489195329195,32,2023-12-30 04:19:24
Produto_96,Categoria_A,255.2095248128551,12,2023-07-15 03:55:27
Produto_26,Categoria_C,156.7599454628647,11,2023-10-08 15:10:07
Produto_13,Categoria_D,88.24358810711193,13,2023-08-12 02:58:28
Produto_100,Categoria_A,432.52826806102496,49,2023-06-16 22:29:41
Produto_89,Categoria_B,302.61882401377756,48,2023-05-11 01:59:18
Produto_22,Categoria_A,259.43450173939027,1,2023-03-20 02:39:48
Produto_81,Categoria_C,80.17251263164587,26,2023-05-20 15:45:58
Produto_36,Categoria_C,470.6371385258977,10,2023-06-19 04:04:01
Produto_12,Categoria_C,404.3225443770342,34,2023-04-21 10:01:09
Produto_3,Categoria_E,484.1223425767514,38,2023-11-20 09:46:21
Produto_91,Categoria_A,44.79724879084074,1,2023-06-04 03:50:24
Produto_5,Categoria_B,428.3833847180935,21,2023-11-30 11:02:37
Produto_77,Categoria_C,27.138501583097327,24,2023-01-18 19:58:05
Produto_7,Categoria_C,68.86826424464144,41,2023-01-28 23:27:48
Produto_27,Categoria_A,110.16360771741252,19,2023-07-30 11:24:45
Produto_70,Categoria_A,211.68696552414912,31,2023-03-09 05:26:07
Produto_44,Categoria_A,402.2666628792956,45,2023-10-31 09:26:12
Produto_59,Categoria_A,316.8029702059286,48,2023-04-03 13:11:53
Produto_8,Categoria_A,422.82765553247447,7,2023-10-03 19:14:24
Produto_93,Categoria_E,215.55203776509603,34,2023-04-17 02:03:18
Produto_15,Categoria_D,50.53859614962182,32,2023-07-24 23:14:30
Produto_32,Categoria_D,148.29365637128973,34,2023-12-16 04:45:10
Produto_78,Categoria_E,398.746224667478,11,2023-06-17 07:11:24
Produto_60,Categoria_A,331.6607860481349,43,2023-11-28 01:26:44
Produto_69,Categoria_A,26.230426935539512,20,2023-05-15 00:12:54
Produto_10,Categoria_E,44.9051515227833,17,2023-04-08 18:57:30
Produto_40,Categoria_E,174.58853676610534,28,2023-06-27 21:52:35
Produto_46,Categoria_A,215.95684269690955,33,2023-05-18 12:26:43
Produto_93,Categoria_A,278.8242609270331,45,2023-05-20 01:39:19
Produto_100,Categoria_B,217.00235306257878,33,2023-08-14 13:51:50
Produto_26,Categoria_D,168.19342393825394,48,2023-03-14 22:12:11
Produto_57,Categoria_B,403.74560561184603,30,2023-12-01 02:30:00
Produto_82,Categoria_B,486.4826659974535,20,2023-09-25 10:38:45
Produto_46,Categoria_A,245.3875551650053,26,2023-11-17 19:01:25
Produto_100,Categoria_B,41.64955809781614,34,2023-07-21 11:23:41
Produto_20,Categoria_C,365.74405882389647,31,2023-07-27 12:19:34
Produto_27,Categoria_C,155.24631127338137,7,2023-08-25 09:09:17
Produto_66,Categoria_C,470.8879122969195,30,2023-07-14 04:31:28
Produto_98,Categoria_E,306.1433516460293,1,2023-05-06 05:19:22
Produto_97,Categoria_D,146.89757727007853,4,2023-06-17 07:29:41
Produto_8,Categoria_A,319.4992279892882,24,2023-02-18 11:12:41
Produto_18,Categoria_A,463.9938890096113,34,2023-05-11 08:00:36
Produto_97,Categoria_D,467.4041875276667,15,2023-08-23 02:03:03
Produto_28,Categoria_B,108.62017001988869,22,2023-01-14 13:12:32
Produto_59,Categoria_C,331.62508155136254,43,2023-11-13 17:53:36
Produto_27,Categoria_E,437.78663892894025,35,2023-10-04 17:18:28
Produto_1,Categoria_C,191.3108312674097,24,2023-08-09 20:47:25
Produto_45,Categoria_B,388.0207472590079,36,2023-09-06 00:14:37
Produto_45,Categoria_E,259.0378424387004,42,2023-07-22 10:54:40
Produto_5,Categoria_A,222.99098581101816,15,2023-05-04 15:16:18
Produto_19,Categoria_A,408.3670835593247,41,2023-10-31 02:09:31
Produto_97,Categoria_B,475.8308410697899,7,2023-09-25 05:18:55
Produto_29,Categoria_B,452.17720589308476,47,2023-09-10 08:27:37
Produto_70,Categoria_C,174.64166051577195,34,2023-01-28 05:48:55
Produto_99,Categoria_D,357.93075938248893,2,2023-02-07 12:25:41
Produto_86,Categoria_A,105.63601348804026,28,2023-09-24 01:26:19
Produto_20,Categoria_C,42.45075671828061,40,2023-08-25 11:45:07
Produto_68,Categoria_E,160.28214352051526,34,2023-12-03 20:39:30
Produto_87,Categoria_D,248.23937374973667,9,2023-01-24 06:38:40
Produto_88,Categoria_E,430.1710007301596,9,2023-05-18 15:15:21
Produto_26,Categoria_D,208.05973058875844,15,2023-12-08 03:33:58
Produto_5,Categoria_E,197.66496362579454,28,2023-10-18 21:51:25
Produto_53,Categoria_D,142.55624817667746,17,2023-10-19 02:39:59
Produto_29,Categoria_D,270.8808661668705,25,2023-08-09 20:17:37
Produto_90,Categoria_E,358.50781533649763,19,2023-04-14 10:40:21
Produto_54,Categoria_A,309.886580691135,42,2023-04-02 15:05:08
Produto_10,Categoria_C,124.90013173236937,37,2023-01-07 07:14:13
Produto_41,Categoria_E,255.54160819940583,26,2023-12-22 04:18:46
Produto_41,Categoria_C,89.36926176987303,30,2023-10-10 23:54:05
Produto_33,Categoria_C,241.59532758345736,14,2023-08-26 11:11:20
Produto_27,Categoria_D,368.9772719171867,11,2023-05-05 07:06:38
Produto_83,Categoria_A,78.1580024777095,13,2023-08-27 04:48:14
Produto_68,Categoria_B,380.1375450654767,4,2023-03-09 19:05:05
Produto_76,Categoria_B,395.22050024993007,25,2023-12-13 08:08:09
Produto_84,Categoria_E,330.3666312919375,48,2023-03-25 16:20:28
Produto_11,Categoria_C,97.39570011416767,12,2023-05-13 21:59:06
Produto_30,Categoria_D,236.02201077097536,31,2023-04-16 01:07:24
Produto_50,Categoria_D,367.0775547887228,47,2023-03-21 13:02:36
Produto_52,Categoria_A,297.1475536353456,13,2023-10-12 15:00:52
Produto_92,Categoria_B,306.3455362149668,47,2023-05-03 03:29:31
Produto_2,Categoria_D,391.21830413066806,4,2023-06-18 17:11:46
Produto_19,Categoria_B,320.4585401304347,47,2023-09-16 21:25:08
Produto_76,Categoria_D,135.0584326918862,49,2023-11-16 16:40:37
Produto_76,Categoria_E,141.6015825105051,45,2023-06-22 05:17:02
Produto_73,Categoria_E,189.08108587747265,30,2023-10-03 21:50:19
Produto_92,Categoria_A,445.61427712604257,8,2023-07-09 06:14:09
Produto_13,Categoria_C,298.80267794446877,37,2023-11-16 06:59:47
Produto_77,Categoria_C,209.88280359974394,33,2023-08-18 11:17:36
Produto_11,Categoria_B,393.023317840312,42,2023-05-09 12:26:05
Produto_44,Categoria_C,298.14227511310094,29,2023-01-13 20:56:20
Produto_16,Categoria_A,440.1435539901574,12,2023-03-02 02:36:26
Produto_10,Categoria_B,472.80837440479,13,2023-05-19 04:38:03
Produto_4,Categoria_A,325.53610170943364,24,2023-09-05 11:54:09
Produto_78,Categoria_D,351.9709650662945,5,2023-02-26 19:18:20
Produto_95,Categoria_D,351.36496968334575,6,2023-03-16 15:42:39
Produto_6,Categoria_B,451.0862149756438,21,2023-12-17 02:21:57
Produto_16,Categoria_E,456.53858675486816,28,2023-11-14 20:58:54
Produto_52,Categoria_C,209.75307248154516,33,2023-05-06 16:16:34
Produto_1,Categoria_C,402.3423438368126,43,2023-03-27 05:12:55
Produto_16,Categoria_C,15.753562531390257,20,2023-03-05 01:04:57
Produto_54,Categoria_D,30.6568699765336,13,2023-01-07 17:27:33
Produto_4,Categoria_C,209.44868541429162,36,2023-05-11 04:49:43
Produto_40,Categoria_C,36.36095454000535,14,2023-11-12 06:02:52
Produto_91,Categoria_E,30.217812252433905,40,2023-07-22 13:33:06
Produto_23,Categoria_B,138.44236404757385,40,2023-08-25 17:08:35
Produto_48,Categoria_C,222.78162953985668,2,2023-10-10 18:54:02
Produto_69,Categoria_C,432.28882379602607,12,2023-09-23 18:06:20
Produto_63,Categoria_C,289.2424822727979,32,2023-10-01 03:25:24
Produto_52,Categoria_B,73.37241495718578,6,2023-03-15 09:32:51
Produto_70,Categoria_A,442.4004063743277,19,2023-06-07 08:38:53
Produto_84,Categoria_A,433.95203646276315,27,2023-08-24 19:22:09
Produto_83,Categoria_B,440.30608735896124,10,2023-01-14 11:19:10
Produto_14,Categoria_D,309.1101327171826,41,2023-03-08 19:23:09
Produto_95,Categoria_A,11.559380642524037,5,2023-07-17 00:20:13
Produto_18,Categoria_B,213.20740903387667,19,2023-01-22 05:06:51
Produto_98,Categoria_C,261.576163186804,14,2023-01-01 01:26:13
Produto_70,Categoria_D,420.1777283936094,37,2023-04-12 19:09:34
Produto_62,Categoria_E,271.8674078342978,14,2023-12-02 19:33:56
Produto_50,Categoria_D,416.34578550371384,45,2023-09-02 21:43:16
Produto_52,Categoria_B,120.45308974480689,8,2023-12-07 05:57:12
Produto_19,Categoria_C,361.9388497718456,42,2023-06-24 13:53:44
Produto_41,Categoria_A,31.44816587886997,43,2023-12-23 00:24:18
Produto_57,Categoria_D,235.4279483713065,34,2023-05-27 08:02:27
Produto_62,Categoria_E,248.09253618135997,35,2023-03-05 17:44:31
Produto_91,Categoria_E,167.01704605139525,28,2023-06-21 04:39:47
Produto_94,Categoria_D,157.17501789150555,23,2023-02-01 21:20:52
Produto_57,Categoria_E,397.849228536628,10,2023-01-18 06:41:12
Produto_79,Categoria_A,97.20267857996215,28,2023-06-26 23:54:44
Produto_86,Categoria_D,192.53710947652937,29,2023-09-20 01:56:03
Produto_17,Categoria_A,190.5502624800026,40,2023-07-22 13:55:32
Produto_50,Categoria_B,494.7012112178639,19,2023-07-17 01:48:02
Produto_48,Categoria_A,409.27315169855314,48,2023-04-02 15:13:30
Produto_89,Categoria_D,497.5777294219062,49,2023-08-18 06:00:29
Produto_87,Categoria_E,394.25319060138355,13,2023-10-01 04:38:22
Produto_49,Categoria_D,347.6128954971345,20,2023-12-18 00:35:17
Produto_89,Categoria_C,441.5650319823512,29,2023-02-28 16:10:25
Produto_28,Categoria_C,83.88464134116688,49,2023-05-21 14:45:13
Produto_59,Categoria_C,435.167208670048,45,2023-03-15 13:20:59
Produto_88,Categoria_E,81.14099819320225,22,2023-09-12 05:00:30
Produto_61,Categoria_A,359.2488004337981,15,2023-05-30 18:26:56
Produto_5,Categoria_E,12.209237754039568,35,2023-05-12 04:32:48
Produto_82,Categoria_E,411.6955569609837,42,2023-12-18 10:00:02
Produto_95,Categoria_C,135.92012073835514,15,2023-02-23 22:08:14
Produto_86,Categoria_A,212.01803753926453,47,2023-04-04 20:00:15
Produto_33,Categoria_E,239.28273451901742,30,2023-09-07 23:57:47
Produto_89,Categoria_B,368.2231100224386,15,2023-07-28 01:40:25
Produto_19,Categoria_A,183.4125057840348,47,2023-11-30 17:53:26
Produto_34,Categoria_B,100.66297238474516,37,2023-12-06 02:26:19
Produto_88,Categoria_D,448.56999716318245,13,2023-08-22 15:44:09
Produto_53,Categoria_A,73.4831884706486,7,2023-05-24 12:52:09
Produto_55,Categoria_C,120.1789281110207,41,2023-09-12 06:36:39
Produto_25,Categoria_E,278.67717332166814,38,2023-09-09 23:11:03
Produto_46,Categoria_B,441.3292368674383,42,2023-01-21 03:50:33
Produto_59,Categoria_B,215.16739447039518,35,2023-10-23 19:54:44
Produto_5,Categoria_B,346.63719384193433,39,2023-03-26 02:23:43
Produto_77,Categoria_C,39.80725486202644,19,2023-12-21 23:45:09
Produto_20,Categoria_D,236.56873986445245,36,2023-04-11 22:23:01
Produto_53,Categoria_E,460.0688095937481,19,2023-09-14 09:44:47
Produto_70,Categoria_A,426.2940914544594,29,2023-05-28 18:59:28
Produto_9,Categoria_C,269.27240646664137,1,2023-08-20 21:20:53
Produto_9,Categoria_A,481.26655781454843,40,2023-07-13 12:21:05
Produto_56,Categoria_E,162.70674102708577,49,2023-02-03 16:00:59
Produto_12,Categoria_B,428.5920637270557,29,2023-03-25 18:11:22
Produto_1,Categoria_B,28.887177289880455,20,2023-10-19 20:40:43
Produto_18,Categoria_E,218.9001915817079,13,2023-03-14 06:03:51
Produto_50,Categoria_C,312.3852446474853,40,2023-11-03 14:38:39
Produto_94,Categoria_B,54.15907445336068,41,2023-05-05 10:52:18
Produto_15,Categoria_B,48.966529283793406,47,2023-06-01 19:06:19
Produto_38,Categoria_B,146.88674257082727,5,2023-06-12 08:18:48
Produto_54,Categoria_B,41.42202761914547,38,2023-09-23 20:55:42
Produto_5,Categoria_C,169.37943716602055,16,2023-09-04 10:56:37
Produto_51,Categoria_C,109.69182120116919,43,2023-11-24 00:50:20
Produto_38,Categoria_D,490.29977184355783,22,2023-05-26 04:32:14
Produto_43,Categoria_D,61.9826349186928,28,2023-10-14 05:26:21
Produto_71,Categoria_C,401.6297709298536,11,2023-11-04 08:16:04
Produto_46,Categoria_C,320.3283818292494,31,2023-06-28 15:26:04
Produto_6,Categoria_A,492.9135222535603,48,2023-03-31 15:17:10
Produto_10,Categoria_C,396.23937112430707,20,2023-04-16 23:48:36
Produto_88,Categoria_C,351.02773485197037,43,2023-04-13 06:25:15
Produto_25,Categoria_E,116.49942529293976,44,2023-03-18 07:44:31
Produto_56,Categoria_E,468.9832433249209,29,2023-03-18 22:39:29
Produto_31,Categoria_B,282.75765637684157,6,2023-11-26 02:42:30
Produto_7,Categoria_A,319.43029082705164,18,2023-04-15 04:46:21
Produto_40,Categoria_A,315.4618743790271,1,2023-09-28 00:45:52
Produto_92,Categoria_E,193.71328935988615,27,2023-08-30 08:43:42
Produto_88,Categoria_B,419.82236088486,42,2023-12-11 00:58:12
Produto_69,Categoria_D,249.8147766606482,31,2023-09-14 12:19:19
Produto_62,Categoria_D,117.44028434720452,21,2023-03-17 14:31:27
Produto_55,Categoria_A,31.027940355092127,16,2023-10-01 08:56:30
Produto_43,Categoria_D,269.1702142995532,43,2023-07-29 00:03:42
Produto_17,Categoria_D,32.231740272538275,18,2023-11-27 10:45:18
Produto_37,Categoria_C,69.6477287411746,38,2023-10-17 08:07:00
Produto_45,Categoria_E,440.2312231224145,4,2023-04-16 13:26:11
Produto_97,Categoria_A,84.60898478131901,32,2023-09-07 06:09:34
Produto_71,Categoria_C,38.236894392068905,13,2023-05-07 20:39:15
Produto_67,Categoria_B,120.43378120266058,19,2023-11-30 08:12:14
Produto_81,Categoria_E,410.49283859739774,42,2023-10-29 17:22:58
Produto_47,Categoria_B,86.7476314476264,31,2023-12-07 03:48:53
Produto_84,Categoria_C,289.9905220459284,49,2023-11-12 07:59:15
Produto_75,Categoria_B,389.8928058029356,27,2023-03-30 19:52:55
Produto_21,Categoria_D,392.48088120233774,9,2023-11-21 20:44:00
Produto_66,Categoria_B,166.47931885333512,32,2023-11-08 13:47:31
Produto_27,Categoria_D,347.60006926299087,40,2023-06-08 01:58:33
Produto_15,Categoria_B,306.1791002171622,7,2023-11-24 05:48:31
Produto_13,Categoria_C,468.8221468645113,20,2023-06-23 14:40:03
Produto_35,Categoria_A,70.64455833541831,34,2023-03-19 22:15:40
Produto_5,Categoria_D,59.61529351992466,11,2023-11-05 00:27:51
Produto_66,Categoria_E,362.3081515794765,12,2023-01-23 05:08:27
Produto_64,Categoria_C,208.95054011954213,19,2023-07-29 09:18:04
Produto_73,Categoria_A,275.1610295261047,46,2023-11-20 19:51:49
Produto_27,Categoria_B,109.10198259215575,29,2023-10-10 00:52:18
Produto_24,Categoria_B,412.457461483457,8,2023-06-22 04:09:16
Produto_87,Categoria_C,25.342437045889298,14,2023-08-10 20:27:09
Produto_13,Categoria_D,477.6811763205361,42,2023-09-27 06:18:04
Produto_27,Categoria_A,278.9742965502945,49,2023-04-14 04:54:37
Produto_39,Categoria_B,446.1784599483445,48,2023-09-28 21:31:51
Produto_7,Categoria_D,139.1141778431152,41,2023-04-11 23:46:23
Produto_41,Categoria_A,226.5129553657482,13,2023-07-04 17:45:47
Produto_77,Categoria_C,338.53510317645845,27,2023-02-26 10:35:52
Produto_18,Categoria_B,82.03622790157672,6,2023-03-05 03:48:38
Produto_11,Categoria_E,417.3326527238656,21,2023-05-25 19:45:45
Produto_22,Categoria_D,36.40783127444581,22,2023-04-26 11:40:08
Produto_58,Categoria_D,96.72178705815816,30,2023-03-23 15:56:19
Produto_11,Categoria_E,263.90678612478416,39,2023-03-04 07:00:15
Produto_77,Categoria_C,55.99383206839976,2,2023-06-07 03:07:09
Produto_99,Categoria_A,326.082196306154,39,2023-04-07 20:12:15
Produto_19,Categoria_E,276.03729223167545,22,2023-08-30 13:38:02
Produto_12,Categoria_E,486.22074454273496,38,2023-05-21 17:04:22
Produto_24,Categoria_A,26.742752070855804,22,2023-10-13 11:53:40
Produto_71,Categoria_A,485.9118403779532,13,2023-06-07 04:24:53
Produto_62,Categoria_E,36.43447712530594,5,2023-06-22 00:06:29
Produto_93,Categoria_B,273.8680256085714,38,2023-08-18 16:39:46
Produto_97,Categoria_E,401.4038738849902,31,2023-09-11 12:11:28
Produto_6,Categoria_E,434.3182914810029,24,2023-11-19 06:49:52
Produto_70,Categoria_C,409.31521625475455,17,2023-08-25 09:20:23
Produto_88,Categoria_A,336.12989787582814,4,2023-11-01 03:23:54
Produto_58,Categoria_E,354.2317818693452,35,2023-05-13 08:57:47
Produto_79,Categoria_B,384.99816686828206,26,2023-07-24 11:31:01
Produto_62,Categoria_D,32.532098962125104,40,2023-07-28 16:59:37
Produto_81,Categoria_A,421.3088269863722,39,2023-03-24 12:06:17
Produto_67,Categoria_E,77.80903819746483,13,2023-03-21 18:55:10
Produto_70,Categoria_D,115.53341136626322,6,2023-06-30 12:15:19
Produto_29,Categoria_E,437.5308344160914,4,2023-10-24 02:10:21
Produto_11,Categoria_D,183.33697128104126,34,2023-12-23 03:51:57
Produto_42,Categoria_E,395.6475540359903,30,2023-06-20 14:07:20
Produto_35,Categoria_B,149.60089406247576,20,2023-05-18 21:58:23
Produto_6,Categoria_A,345.2055324549662,9,2023-06-15 08:24:26
Produto_3,Categoria_A,470.35511476647457,33,2023-12-20 20:48:10
Produto_12,Categoria_E,144.53756586550017,18,2023-02-07 08:58:24
Produto_52,Categoria_C,18.14760695136063,23,2023-12-16 13:38:11
Produto_63,Categoria_A,403.99271661695394,29,2023-08-01 01:39:33
Produto_73,Categoria_C,496.73308344432553,21,2023-10-24 08:33:02
Produto_65,Categoria_A,365.6899392252243,45,2023-11-12 21:31:12
Produto_100,Categoria_A,69.12805538361386,21,2023-02-03 21:18:15
Produto_35,Categoria_C,475.3288348066951,34,2023-02-12 07:13:22
Produto_91,Categoria_E,423.62723921098376,37,2023-12-17 12:40:57
Produto_9,Categoria_A,97.44699352111459,13,2023-10-19 21:33:12
Produto_16,Categoria_C,324.61488860262705,28,2023-10-21 07:12:09
Produto_47,Categoria_A,321.879590992132,5,2023-10-27 04:52:53
Produto_26,Categoria_B,230.97602766381922,23,2023-04-06 17:25:34
Produto_21,Categoria_B,362.73613199506985,5,2023-08-01 02:03:50
Produto_27,Categoria_B,499.7226732831865,16,2023-01-11 04:17:21
Produto_68,Categoria_C,430.43196939493134,35,2023-03-30 13:01:55
Produto_66,Categoria_C,186.56957481862085,39,2023-10-12 21:45:20
Produto_36,Categoria_D,392.3075937106543,21,2023-11-17 04:30:54
Produto_61,Categoria_C,192.1529811088337,29,2023-11-27 12:48:25
Produto_17,Categoria_A,411.56157652422166,23,2023-01-27 18:06:43
Produto_49,Categoria_B,416.1966043933418,15,2023-01-07 19:25:42
Produto_33,Categoria_A,57.785982318091875,29,2023-08-29 09:39:15
Produto_48,Categoria_A,242.09117393150848,42,2023-02-25 02:30:21
Produto_4,Categoria_D,260.76984786425703,44,2023-11-24 10:50:16
Produto_97,Categoria_B,66.06821515960456,2,2023-08-03 08:53:34
Produto_85,Categoria_E,431.93540076255226,25,2023-11-29 09:39:38
Produto_58,Categoria_B,401.88901331957226,2,2023-10-27 10:54:05
Produto_27,Categoria_B,401.2406747891552,16,2023-12-29 01:04:43
Produto_38,Categoria_D,224.0704110239391,46,2023-12-18 22:08:39
Produto_53,Categoria_B,458.04279101741173,39,2023-12-18 08:50:18
Produto_37,Categoria_D,125.73540829178212,27,2023-09-12 12:52:24
Produto_80,Categoria_E,286.577282154462,33,2023-06-19 08:10:23
Produto_12,Categoria_C,286.9997755662185,42,2023-07-29 07:59:54
Produto_84,Categoria_C,233.7023141744321,26,2023-09-05 03:27:51
Produto_60,Categoria_E,108.84775506035187,39,2023-09-23 01:27:22
Produto_1,Categoria_C,364.2425717850675,10,2023-09-01 22:58:39
Produto_83,Categoria_E,358.9854489047053,36,2023-06-16 12:28:29
Produto_91,Categoria_D,491.4246484830005,8,2023-06-23 09:41:52
Produto_36,Categoria_A,490.76413858466486,35,2023-06-12 23:15:14
Produto_14,Categoria_B,23.774450257249548,39,2023-04-28 03:01:01
Produto_81,Categoria_E,456.4903195736043,15,2023-09-25 19:11:41
Produto_37,Categoria_E,168.51825437688146,39,2023-08-26 12:39:21
Produto_6,Categoria_A,269.4386130649378,31,2023-08-04 10:44:52
Produto_57,Categoria_C,201.57769564390335,32,2023-05-24 21:14:52
Produto_18,Categoria_D,123.89898605760675,14,2023-02-23 16:43:26
Produto_19,Categoria_B,452.75628354273937,39,2023-12-13 20:28:35
Produto_60,Categoria_E,298.3023977710809,1,2023-04-13 17:37:27
Produto_62,Categoria_C,274.19274264870813,44,2023-07-28 11:36:22
Produto_19,Categoria_E,172.4883823181489,45,2023-02-03 23:47:52
Produto_76,Categoria_B,94.60361897057567,48,2023-12-14 06:49:01
Produto_40,Categoria_D,261.9229228773345,15,2023-09-26 16:06:35
Produto_37,Categoria_C,385.124460584467,10,2023-08-24 23:30:05
Produto_5,Categoria_E,496.4597603148561,39,2023-09-26 05:57:28
Produto_49,Categoria_D,75.13248984202706,25,2023-03-28 23:22:22
Produto_6,Categoria_A,145.02442354427126,30,2023-10-01 06:19:01
Produto_42,Categoria_E,76.80289779575219,14,2023-08-19 16:56:06
Produto_12,Categoria_D,317.4397824257272,1,2023-11-25 12:57:15
Produto_6,Categoria_C,213.27926540597383,41,2023-03-09 20:25:40
Produto_64,Categoria_E,387.2630624145982,13,2023-06-07 03:44:30
Produto_80,Categoria_A,327.0098961040854,49,2023-02-11 04:51:29
Produto_32,Categoria_B,112.92707606849636,24,2023-12-27 10:22:12
Produto_68,Categoria_E,181.69498143806942,22,2023-02-04 14:10:44
Produto_67,Categoria_E,143.90334507804593,3,2023-12-03 07:44:11
Produto_83,Categoria_A,254.4269084837778,21,2023-08-21 15:26:16
Produto_34,Categoria_D,417.7111070722592,29,2023-05-31 06:38:57
Produto_83,Categoria_B,138.84564208849554,44,2023-06-29 12:19:19
Produto_34,Categoria_E,393.8907712406809,41,2023-05-28 12:35:49
Produto_93,Categoria_C,23.498641841388498,22,2023-03-21 05:58:10
Produto_47,Categoria_A,115.48898653569745,5,2023-02-18 22:51:08
